Название;Цена;"Ссылка на страницу товара";"Ссылка на картинку товара";Примечание;"Категория товара";Наличие
"Универсальная коляска Cam Combi Family (3 в 1) 163";631;http://127.0.0.1/product/combi-family-3-v-1;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_sam_combi_family__3_v_1__cvet_163.jpeg;;Коляски;склад
"Универсальная коляска Cam Combi Family (3 в 1) 96";631;http://127.0.0.1/product/combi-family-3-v-1;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_sam_combi_family__3_v_1__cvet_96.jpeg;;Коляски;склад
"Универсальная коляска Cam Combi Family (3 в 1) 166";631;http://127.0.0.1/product/combi-family-3-v-1;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_sam_combi_family__3_v_1__cvet_166.jpeg;;Коляски;склад
"Универсальная коляска Cam Combi Family (3 в 1) 167";631;http://127.0.0.1/product/combi-family-3-v-1;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_sam_combi_family__3_v_1__cvet_167.jpeg;;Коляски;склад
"Универсальная коляска Cam Combi Family (3 в 1) 171";631;http://127.0.0.1/product/combi-family-3-v-1;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_sam_combi_family__3_v_1__cvet_171.jpeg;;Коляски;склад
"Универсальная коляска Cam Pulsar (3 в 1) 185";969;http://127.0.0.1/product/universalnaya-kolyaska-cam-pulsar-3-v-1;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_cam_pulsar__3_v_1__cvet_185.jpeg;;Коляски;склад
"Универсальная коляска Cam Pulsar (3 в 1) 181";969;http://127.0.0.1/product/universalnaya-kolyaska-cam-pulsar-3-v-1;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_cam_pulsar__3_v_1__cvet_181.jpeg;;Коляски;склад
"Универсальная коляска Cam Pulsar (3 в 1) 182";969;http://127.0.0.1/product/universalnaya-kolyaska-cam-pulsar-3-v-1;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_cam_pulsar__3_v_1__cvet_182.jpeg;;Коляски;склад
"Универсальная коляска Cam Pulsar (3 в 1) 184";969;http://127.0.0.1/product/universalnaya-kolyaska-cam-pulsar-3-v-1;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_cam_pulsar__3_v_1__cvet_184.jpeg;;Коляски;склад
"Универсальная коляска Cam Pulsar (3 в 1) 187";969;http://127.0.0.1/product/universalnaya-kolyaska-cam-pulsar-3-v-1;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_cam_pulsar__3_v_1__cvet_187.jpeg;;Коляски;склад
"Детский манеж Cam Brevettato цвет 198";163;http://127.0.0.1/product/detskij-manezh-cam-brevettato;http://127.0.0.1/assets/images/catalog/big/detskiy_manezh_cam_brevettato_cvet_cvet_198.jpeg;;Манежи;склад
"Детский манеж Cam Brevettato цвет 199";163;http://127.0.0.1/product/detskij-manezh-cam-brevettato;http://127.0.0.1/assets/images/catalog/big/detskiy_manezh_cam_brevettato_cvet_cvet_199.jpeg;;Манежи;склад
"Детский манеж Cam Lusso 215";100;http://127.0.0.1/product/cam-lusso;http://127.0.0.1/assets/images/catalog/big/Detskiy_manezh_Cam_Lusso_cvet_.jpg;;Манежи;склад
"Детский манеж Cam Lusso 198";100;http://127.0.0.1/product/cam-lusso;http://127.0.0.1/assets/images/catalog/big/detskiy_manezh_detskiy_manezh_cam_lusso_cvet_cvet_198.jpeg;;Манежи;склад
"Детский манеж-кровать Cam Daily Plus 199";176;http://127.0.0.1/product/detskij-manezh-krovat-cam-daily-plus;http://127.0.0.1/assets/images/catalog/big/detskiy_manezh_cam_daily_plus_cvet_cvet_199.jpeg;;Манежи;склад
"Детский манеж-кровать Cam Daily Plus 198";176;http://127.0.0.1/product/detskij-manezh-krovat-cam-daily-plus;http://127.0.0.1/assets/images/catalog/big/detskiy_manezh_cam_daily_plus_cvet_cvet_198.jpeg;;Манежи;склад
"Детский манеж-кровать Cam Daily Plus 82";176;http://127.0.0.1/product/detskij-manezh-krovat-cam-daily-plus;http://127.0.0.1/assets/images/catalog/big/detskiy_manezh_cam_daily_plus_cvet_cvet_82.jpeg;;Манежи;склад
"Детские ходунки Cam Bubu цвет D";90;http://127.0.0.1/product/detskie-hodunki-cam-bubu;http://127.0.0.1/assets/images/catalog/big/detskie_hodunki_cam_bubu_cvet_cvet_d.jpeg;;Ходунки;склад
"Детские ходунки Cam Bubu цвет С";90;http://127.0.0.1/product/detskie-hodunki-cam-bubu;http://127.0.0.1/assets/images/catalog/big/detskie_hodunki_cam_bubu_cvet_cvet_s.jpeg;;Ходунки;склад
"Детские ходунки Cam Bubu цвет E";90;http://127.0.0.1/product/detskie-hodunki-cam-bubu;http://127.0.0.1/assets/images/catalog/big/detskie_hodunki_cam_bubu_cvet_cvet_e.jpeg;;Ходунки;склад
