Название;Цена;"Ссылка на страницу товара";"Ссылка на картинку товара";"Категория товара"
"Welldon Royal Baby SideArmor & CuddleMe ISO-FIX ";222;http://127.0.0.1/product/welldon-royal-baby-sidearmor--cuddleme-iso-fix-;http://127.0.0.1/assets/images/catalog/big/Detskoe_avtokreslo_Welldon_Royal_Baby_SideArmor___CuddleMe_ISO-FIX__cvet_violet.jpg;Автокресла
"Welldon Royal Baby Classic ";140;http://127.0.0.1/product/welldon-royal-baby-classic-;http://127.0.0.1/assets/images/catalog/big/Detskoe_avtokreslo_Welldon_Royal_Baby_Classic__cvet_red.jpg;Автокресла
"Welldon Baby Shield";100;http://127.0.0.1/product/welldon-baby-shield;http://127.0.0.1/assets/images/catalog/big/Avtokreslo-buster_Welldon_Baby_Shield__cvet_Aqua_Blue.jpg;Автокресла
"Welldon Magic Nacre";137;http://127.0.0.1/product/welldon-magic-nacre;http://127.0.0.1/assets/images/catalog/big/Avtokreslo-buster_Welldon_Magic_Nacre_cvet_beige.jpg;Автокресла
"Welldon Diadem Isofix";120;http://127.0.0.1/product/welldon-diadem-isofix;http://127.0.0.1/assets/images/catalog/big/Avtokreslo-lyulka_Welldon_Diadem_Isofix_cvet_blue.jpg;Автокресла
"Christ Arosa";260;http://127.0.0.1/product/christ-arosa;http://127.0.0.1/assets/images/catalog/big/Zimniy_konvert_Christ_Arosa_cvet_Krasnyy.jpg;Аксессуары
"Bright Starts Саванна 60192";155;http://127.0.0.1/product/bright-starts-savanna-60192;http://127.0.0.1/assets/images/catalog/big/Detskie_kacheli_Bright_Starts_Savanna_60192_Vid_sboku.jpg;Качели
"Bright Starts Сахара 60100";155;http://127.0.0.1/product/bright-starts-sahara-60100;http://127.0.0.1/assets/images/catalog/big/Detskie_kacheli_Bright_Starts_Sahara_60100_Vid_sboku.jpg;Качели
"Cybex Callisto Fashion";140;http://127.0.0.1/product/cybex-callisto-fashion;http://127.0.0.1/assets/images/catalog/big/Lyulka_Cybex_Callisto__cvet_Moonlight_2011.jpg;Аксессуары
"Cybex Callisto (мягкая)";185;http://127.0.0.1/product/cybex-callisto-myagkaya;http://127.0.0.1/assets/images/catalog/big/Lyulka_Cybex_Callisto__myagkaya__cvet_Rosin.jpg;Аксессуары
"Shenma C-L";120;http://127.0.0.1/product/shenma-c-l;http://127.0.0.1/assets/images/catalog/big/Stul_dlya_kormleniya__Shenma_C-L__cvet_salatovyy.jpg;Стульчики
"Bertoni (Lorelli) Siesta";98;http://127.0.0.1/product/bertoni-siesta;http://127.0.0.1/assets/images/catalog/big/Stul_dlya_kormleniya_Bertoni_Siesta_cvet_Butterflies_and_Flowers_Pink_2014.jpg;Стульчики
"Quinny Zapp Xtra";375;http://127.0.0.1/product/quinny-zapp-xtra;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Quinny_Zapp_Xtra_cvet_Red_Crackle.jpg;Коляски
"Cozy Duo (2 в 1)";665;http://127.0.0.1/product/cozy-dou-2-v-1;http://127.0.0.1/assets/images/catalog/big/Universalnaya_kolyaska_dlya_dvoyni_Cozy_DUO_2_v_1_cvet_Red.jpg;Коляски
"Cozy Smart (2 в 1)";403;http://127.0.0.1/product/cozy-smart-2-in-1;http://127.0.0.1/assets/images/catalog/big/Universalnaya_kolyaska_Cozy_Smart_2_in_1_cvet_White_Check.jpg;Коляски
"Cozy Smart";300;http://127.0.0.1/product/cozy-smart;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Smart_cvet_Navy.jpg;Коляски
"Cybex Callisto";330;http://127.0.0.1/product/cybex-callisto----;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Cybex_Callisto_cvet_Magenta.jpg;Коляски
