Описание;Название;Цена;Валюта;Наличие;"Ссылка на страницу товара"
Коляски;"Bertoni (Lorelli) Calypso";157;y.e.;"Нет в наличии";http://127.0.0.1/product/bertoni-calypso
Коляски;"Bertoni (Lorelli) Flash";42;y.e.;"Наличие уточняйте";http://127.0.0.1/product/bertoni-flash
Коляски;"Bertoni (Lorelli) Sporty";77;y.e.;"Нет в наличии";http://127.0.0.1/product/bertoni-sporty
Коляски;"Bertoni (Lorelli) Carrera (2 в 1)";373;y.e.;"Наличие уточняйте";http://127.0.0.1/product/bertoni-carrera-2-v-1
Коляски;"Bertoni (Lorelli) Eclipse (2 в 1)";160;y.e.;"Наличие уточняйте";http://127.0.0.1/product/bertoni-eclipse-2-v-1
Коляски;"Bertoni (Lorelli) Atlanta 3 (2 в 1)";254;y.e.;"Наличие уточняйте";http://127.0.0.1/product/bertoni-atlanta-3-2-v-1
Коляски;"Bertoni (Lorelli) Star";72;y.e.;"Наличие уточняйте";http://127.0.0.1/product/bertoni-star
Коляски;"Bertoni (Lorelli) Foxy";88;y.e.;"Наличие уточняйте";http://127.0.0.1/product/bertoni-foxy
Коляски;"Bertoni (Lorelli) Twin";143;y.e.;"Наличие уточняйте";http://127.0.0.1/product/bertoni-twin
Ходунки;"Bertoni (Lorelli) BW-3";30;y.e.;"Наличие уточняйте";http://127.0.0.1/product/bertoni-bw
Кроватки;"Агат Золушка-1";70;y.e.;"Наличие уточняйте";http://127.0.0.1/product/agat-zolushka-1
Кроватки;"Агат Золушка-2";97;y.e.;"Наличие уточняйте";http://127.0.0.1/product/agat-zolushka-2
Кроватки;"Агат Золушка-3";90;y.e.;"Наличие уточняйте";http://127.0.0.1/product/agat-zolushka-3
Кроватки;"Агат Золушка-4";114;y.e.;"Наличие уточняйте";http://127.0.0.1/product/agat-zolushka-4
Кроватки;"Агат Золушка-5";103;y.e.;"Наличие уточняйте";http://127.0.0.1/product/agat-zolushka-5
Кроватки;"Агат Золушка-6";119;y.e.;"Наличие уточняйте";http://127.0.0.1/product/agat-zolushka-6
Кроватки;"Антел Ульяна-1.1";150;y.e.;"Наличие уточняйте";http://127.0.0.1/product/antel-ulyana-11
Кроватки;"Антел Ульяна-2";242;y.e.;"Наличие уточняйте";http://127.0.0.1/product/antel-ulyana-2
Кроватки;"Антел Ульяна-5";190;y.e.;"Наличие уточняйте";http://127.0.0.1/product/antel-ulyana-5
"Для пеленания";"Беби Элит Зверюшки";143;y.e.;"Наличие уточняйте";http://127.0.0.1/product/bebi-elit-zveryushki
"Для пеленания";"Беби Элит Классик мини";131;y.e.;"Наличие уточняйте";http://127.0.0.1/product/bebi-elit-klassik-mini
