Бренд;Название;"Цена в у.е.";"Цена в бел.руб."
"Золотой Гусь";"Ёжик Топа-Топ (8 предметов)";121;1288650
"Золотой Гусь";"(10 предметов)";170;1810500
"Золотой Гусь";"Little Friend (3 предмета)";30;319500
"Золотой Гусь";"Растем весело (3 предмета)";30;319500
"Золотой Гусь";"Coolcar (3 предмета)";35;372750
"Золотой Гусь";"Аленка (3 предмета)";30;319500
"Золотой Гусь";"Антошка (3 предмета)";50;532500
"Золотой Гусь";"Анюта (3 предмета)";30;319500
"Золотой Гусь";"Веселые овечки (3 предмета)";40;426000
"Золотой Гусь";"Бэби Элит (3 предмета)";55;585750
"Золотой Гусь";"Ёжик Топа-Топ (3 предмета)";30;319500
Simplicity;"(4 в 1)";240;2556000
"Silver Cross";Fizz;210;2236500
"Silver Cross";Pop;202;2151300
"Silver Cross";Dazzle;320;3408000
"Silver Cross";Halo;300;3195000
Гандылян;"Аистенок мини люкc";330;3514500
Гандылян;Аистенок;329;3503850
Гандылян;Александра;345;3674250
Гандылян;Жасмин;260;2769000
Гандылян;Иришка;335;3567750
Гандылян;Ли-Ли;145;1544250
Гандылян;"Моника (маятник)";385;4100250
Гандылян;Сильвия;445;4739250
Гандылян;"Сильвия Люкс";462;4920300
СКВ-Компани;70100;130;1384500
4moms;MamaRoo;320;3408000
Tako;"Jumper Duo (2 в 1)";585;6230250
Tako;"Acoustic (2 в 1)";448;4771200
Tako;"Balilla (2 в 1)";480;5112000
Tako;"Captiva (2 в 1)";355;3780750
Tako;"Laret (2 в 1)";415;4419750
Tako;"Lila (2 в 1)";299;3184350
Tako;"Lungo (2 в 1)";439;4675350
Tako;"Venezia (2 в 1)";270;2875500
Tako;"Alive (2 в 1)";429;4568850
Tako;"Jumper X (2 в 1)";280;2982000
Tako;Drifter;210;2236500
Tako;Shaft;247;2630550
Tako;HPU;107;1139550
Nino;"Baile (6 предметов)";113;1203450
Nino;"Ganguro (6 предметов)";113;1203450
Nino;"El Amor (3 предмета)";40;426000
Nino;"Elefante (3 предмета)";40;426000
Nino;"Erizo (6 предметов)";113;1203450
Nino;"Gatito (6 предметов)";113;1203450
Nino;"Los Amigos (6 предметов)";113;1203450
Nino;"Morada (3 предмета)";0;0
Nino;"Paseo (6 предметов)";0;0
Nino;"Reno (6 предметов)";0;0
Бомбус;"Топтыжка (7 предметов)";93;990450
Бомбус;"Абэль (7 предметов)";169;1799850
Бомбус;"Бабочки (7 предметов)";160;1704000
Бомбус;"Бабочки (3 предмета)";30;319500
Бомбус;"Веселая семейка (7 предметов)";142;1512300
Бомбус;"Виконт (7 предметов)";240;2556000
Бомбус;"Давай поиграем (8 предметов)";115;1224750
Бомбус;"Давай поиграем (3 предмета)";24;255600
Бомбус;"Дельфинчик (7 предметов)";90;958500
Бомбус;"Золушка (7 предметов)";230;2449500
Бомбус;"Изабель (8 предметов)";190;2023500
Jetem;Chopper;85;905250
Бомбус;"Изабель (3 предмета)";40;426000
Бомбус;"Инфанта (7 предметов)";240;2556000
Бомбус;"Королевский (8 предметов)";205;2183250
Jetem;Formica;87;926550
"Baby Care";"Family 95531";83;883950
Бомбус;"Кроха (7 предметов)";155;1650750
Бомбус;"Лунный мишка (7 предметов)";141;1501650
Бомбус;"Лунный мишка (3 предмета)";28;298200
Бомбус;"Любавушка (7 предметов)";115;1224750
"Baby Care";"Family 95962";85;905250
Бомбус;"Малышок (7 предметов)";207;2204550
Jetem;"Lexus Trike Next Generation";135;1437750
Бомбус;"Маргарита (7 предметов)";155;1650750
Бомбус;"Мариша (7 предметов)";80;852000
Бомбус;"Мариша (3 предмета)";24;255600
Бомбус;"Мила (7 предметов)";190;2023500
Бомбус;"Нежность (7 предметов)";185;1970250
Бомбус;"Павлуша (8 предметов)";132;1405800
"Baby Care";"3 Wheel Scooter CMC008";38;404700
"Baby Care";"Scooter min";40;426000
"Baby Care";Scooter;48;511200
Бомбус;"Павлуша (3 предмета)";28;298200
Бомбус;"Светик (7 предметов)";135;1437750
Lexus;"Trike Next";140;1491000
Бомбус;"Сладкий сон (7 предметов)";135;1437750
Бомбус;"Сладкий сон (3 предмета)";40;426000
Бомбус;"Слоники (8 предметов)";145;1544250
Бомбус;"Слоники (3 предмета)";30;319500
Lexus;"Trike Grand New";150;1597500
Бомбус;"Солнечный денёк (7 предметов)";135;1437750
Бомбус;"Соня (6 предметов)";90;958500
