Бренд;Название;"Цена в у.е.";"Цена в бел.руб."
Лель;"Маргаритка БИ 08.4";506;5388900
Лель;"Василек БИ 09.4";325;3461250
Лель;"Василек БИ 09.3";301;3205650
Лель;"Василек БИ 09.1";0;0
Лель;"Азалия БИ 10.4";470;5005500
Лель;"Азалия БИ 10.3";450;4792500
Лель;"Азалия БИ 10.1";0;0
Лель;"Азалия БИ 10.0";0;0
"Philips Avent";"SCD-570/00 (85167)";155;1650750
"Philips Avent";SCD-580/00;175;1863750
"Philips Avent";"Express 8137 (электрический)";95;1011750
"Philips Avent";"SCF-355/00 (82050)";72;766800
Babypol;"""Забавный динозаврик""";70;745500
Антел;"Алита - 3 (Трансформер)";192;2044800
Антел;"Ульяна-3 (Трансформер)";184;1959600
Riko;Racer;223;2374950
Joie;Litetrax;230;2449500
" ";"Formula-1 ";0;0
Concord;Ultimax;350;3727500
Concord;"Lift Protect";160;1704000
" ";"""Комета""";0;0
Concord;Trimax;160;1704000
" ";"Снежная звезда (со спинкой)";0;0
" ";"Минилыжи Детские (длина 64 см)";0;0
" ";"Снежная звезда (без спинкой)";0;0
" ";Снеголет-Н;0;0
" ";"Снежный скат";0;0
" ";Тобоган;0;0
" ";Снеголет;0;0
" ";"СНЕГОЛЕТ Скоростно";0;0
" ";"Набор Для ВСЕЙ СЕМЬИ";0;0
